202066,n202066.png,Garrett,Temple,Guard,Forward,53.8,2,0.7,0.5,0.1,0.4,0.2,0.2,0.5,1.8,0.7,0.2,0.1,0.4
202083,n202083.png,Wesley,Matthews,Guard,Guard,57.1,3.4,2.2,0.7,0.2,0.4,0.3,0.7,1.5,3.1,1.1,0.5,0.5,0.8
202322,n202322.png,John,Wall,Guard,Guard,70.8,11.4,2.7,5.2,0.4,0.8,2.4,0.4,2.3,9.9,4.1,3.3,2.3,1
202330,n202330.png,Gordon,Hayward,Forward,Forward,75.7,14.7,4.3,4.1,0.2,0.8,2,0.7,3.6,11.6,5.5,3.2,2.6,1
202331,n202331.png,Paul,George,Forward,Forward,89.4,23.8,6.1,5.1,0.4,1.5,3.1,0.8,5.3,17.9,8.2,5.2,4.6,2.8
202397,n202397.png,Ish,Smith,Guard,Guard,56.5,2.5,1.3,2.3,0.2,0.2,1,0.1,1.1,3,1.2,0.1,0,0
202681,n202681.png,Kyrie,Irving,Guard,Guard,94.5,27,5.1,5.5,0.8,1.1,2.1,1,4.1,20,9.9,4.6,4.1,3.1
202685,n202685.png,Jonas,Valanciunas,Center,Center,79,14.1,10.2,1.8,0.7,0.3,2,2.8,7.3,10.3,5.6,2.8,2.3,0.5
202687,n202687.png,Bismack,Biyombo,Center,Center,62,4.3,4.3,0.9,1.4,0.3,0.8,1.5,2.8,3.4,2,1.1,0.4,0
202689,n202689.png,Kemba,Walker,Guard,Guard,63.3,8,1.8,2.1,0.2,0.2,0.4,0.3,1.4,6.3,2.7,2.3,1.9,0.8
202691,n202691.png,Klay,Thompson,Guard,Guard,81.6,21.9,4.1,2.4,0.4,0.7,1.8,0.6,3.6,18.1,7.9,1.9,1.7,4.4
202692,n202692.png,Alec,Burks,Guard,Guard,70.2,12.8,3.1,2.2,0.2,0.7,1.1,0.4,2.7,9,3.9,3.7,3,1.9
202693,n202693.png,Markieff,Morris,Forward,Forward,57.3,3.8,2,0.9,0.1,0.3,0.5,0.4,1.7,3.3,1.3,0.3,0.3,0.8
202694,n202694.png,Marcus,Morris Sr.,Forward,Forward,68.6,11.2,4,1.8,0.3,0.6,0.9,0.4,3.5,9.9,4.2,1.3,1,1.7
202695,n202695.png,Kawhi,Leonard,Forward,Forward,90.3,23.8,6.5,3.9,0.5,1.4,1.7,1.1,5.4,16.8,8.6,5.4,4.7,2
202696,n202696.png,Nikola,Vucevic,Center,Center,86.4,17.6,11,3.2,0.7,0.7,1.7,1.9,9.1,14,7.3,1.9,1.6,1.5
202699,n202699.png,Tobias,Harris,Forward,Forward,76.9,14.7,5.7,2.5,0.5,0.9,1.2,0.9,4.8,11.4,5.7,1.7,1.5,1.7
202704,n202704.png,Reggie,Jackson,Guard,Guard,67.1,10.2,2.1,3.4,0.1,0.7,1.7,0.4,1.8,9.4,3.9,1.1,1,1.4
202709,n202709.png,Cory,Joseph,Guard,Guard,63.8,6.9,1.7,3.5,0.1,0.5,0.9,0.3,1.4,5.7,2.4,1.2,0.9,1.1
202710,n202710.png,Jimmy,Butler,Forward,Forward,90.8,22.9,5.9,5.3,0.3,1.8,1.6,2.2,3.7,13.9,7.5,8.7,7.4,0.6
202711,n202711.png,Bojan,Bogdanovic,Forward,Forward,81.3,21.6,3.8,2.6,0.1,0.6,2.3,0.6,3.2,14.9,7.3,5.1,4.5,2.5
202722,n202722.png,Davis,Bertans,Forward,Forward,57.3,4.6,1.2,0.5,0.2,0.2,0.2,0.2,1,3.6,1.5,0.3,0.3,1.2
203076,n203076.png,Anthony,Davis,Forward,Center,98.4,25.9,12.5,2.6,2,1.1,2.2,3.5,9.1,17.2,9.7,7.9,6.2,0.3
203078,n203078.png,Bradley,Beal,Guard,Guard,87.6,23.2,3.9,5.4,0.7,0.9,2.9,0.8,3.1,17.6,8.9,4.6,3.8,1.6
203081,n203081.png,Damian,Lillard,Guard,Guard,100.6,32.2,4.8,7.3,0.3,0.9,3.3,0.8,4,20.7,9.6,9.6,8.8,4.2
